title,imgpath,salesprice
"Apple iPhone 14 (512 GB, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/b23e5163-5a25-40d4-9113-e56ccc61589322081210.jpg,103900
"Apple iPhone 13 Pro (1 TB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/ee74df8d-57ef-46b7-ba71-e671cd100fda21170619.jpg,169890
"Apple iPhone 14 Plus (256 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/5a52daf7-b952-4555-91af-3b844686d6b822090547.jpg,91900
"Apple iPhone 13 Mini (256 GB Storage, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/b516547f-4841-4c0b-965c-7887faac2f0f21170533.jpg,72900
"Apple iPhone 13 Pro Max (128 GB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/2cd086fa-2c90-4d69-bd5a-17d83a638c3122111345.jpg,122000
"Apple iPhone 14 Pro Max (512 GB, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/0f92ada2-b2af-40d3-a6ec-42d08d43396222090633.jpg,161900
"Apple iPhone 14 Pro Max (1 TB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/96635805-8e62-47ee-9cb9-cfd3eb941b7022090618.jpg,180900
"Apple iPhone 14 Pro Max (256 GB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/4419bfbf-cecd-4f0c-af55-41a6d011227222090617.jpg,148900
"Apple iPhone 14 Plus (512 GB, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/3232a3dd-fa9f-4508-ae0a-0e5cbb64e1c922090608.jpg,110999
"Apple iPhone 14 Pro Max (1 TB, Space Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/72099fb8-372f-486c-8b83-8c465636647722090603.jpg,180900
"Apple iPhone 14 Pro Max (512 GB, Space Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/3d219f28-2976-416f-898f-6c322617404922090603.jpg,161900
"Apple iPhone 14 Plus (512 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/865af1b3-0ea2-4c88-8a0e-40616753524e22090559.jpg,110999
"Apple iPhone 14 Plus (256 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/8f561c0b-f0ee-45bd-a7ac-a530f8ee49d322090600.jpg,91900
"Apple iPhone 14 Pro (1 TB, Deep Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/96b94b25-8adf-4e13-bc7b-eac320b27d3122090547.jpg,170900
"Apple iPhone 14 Plus (512 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/dbc75a97-e532-4ccc-a8b9-1e10b06657e722090546.jpg,110999
"Apple iPhone 14 Plus (512 GB, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/8936c675-1a9a-41af-bd3c-459e444d785b22090541.jpg,110999
"Apple iPhone 14 Pro (1 TB, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/1eff755b-8f43-47f0-890c-53d4efc2b4cd22090534.jpg,170900
"Apple iPhone 14 Pro (512 GB, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/e04f3ce5-e256-479a-b145-3a7904a55a3422090534.jpg,151900
"Apple iPhone 14 Pro  ( 1 TB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/022a1863-fd10-461d-9754-8e4ffb0e585722090519.jpg,170900
"Apple iPhone 14 Pro (512 GB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/5d1b1d8c-5f50-46c0-9f2f-2230bac684c822090521.jpg,151900
"Apple iPhone 14 (512 GB, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/85b7b551-c72e-4e6c-80fd-ed5fdeccae3b22090512.jpg,103900
"Apple iPhone 14 (256 GB, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/4e0c7d55-9704-491e-8a27-47929aca453c22090511.jpg,83490
"Apple iPhone 14 (512 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/d5af1f4d-b9dc-462a-a423-f229e50a15a922081222.jpg,103900
"Apple iPhone 14 (512 GB, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/849712bc-78eb-41cd-b9a4-4899af29cf8c22081202.jpg,103900
"Apple iPhone 13 Pro Max (512 GB Storage, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/45a9e98e-4516-40ac-9de7-8cdb114474e522111353.jpg,129900
"Apple iPhone 13 Pro Max (256 GB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/243a0d58-410e-4d6e-96ce-c90acbb69b1d22111351.jpg,136590
"Apple iPhone 13 Pro Max (1 TB Storage, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/39593e9e-8fcf-4a08-9e78-95f94b121a7e22111346.jpg,169000
"Apple iPhone 13 Pro (512 GB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/d24d291a-d5b7-45ea-aed1-19df50ac849122111335.jpg,146840
"Apple iPhone 13 Pro (1 TB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/f5e0f576-ab6d-4cb2-81ef-97cc7a2fefcb22111322.jpg,169900
"Apple iPhone 13 Pro (256 GB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/66d6056e-e588-4b03-a44b-74685197003622111313.jpg,122199
"Apple iPhone 13 Pro (128 GB, Alpine Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/8945a826-131c-4cf0-b985-6fb29387642c22111311.jpg,111600
"Apple iPhone SE 3rd Gen (256 GB Storage, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/74a9e89d-c5d4-40be-a7ba-d5e12b92b71422111306.jpg,58900
"Apple iPhone 13 Mini (512 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/9c7bd96a-f67a-4d71-9ae8-afcdb2b069a422061236.jpg,94900
"Apple iPhone SE 3rd Gen (256GB Storage, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/e7ba0ed6-0546-4239-8a3f-73993740e57722111254.jpg,58900
"Apple iPhone 13 Mini (256 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/dbdaa21e-5c22-4bdf-9a34-00ca25a8763b22111248.jpg,94900
"Apple iPhone SE 3rd Gen (128GB Storage, (Product)Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/3c8850b8-5851-401e-9d5d-5a61a1370cf522111233.jpg,46500
"Apple iPhone 13 Mini (128 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/c17677c4-4496-4180-aef3-8ae1172995eb22111228.jpg,64900
"Apple iPhone SE 3rd Gen (128GB Storage, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/541b8c7b-fef9-4298-851f-55057e3092ab22111225.jpg,46500
"Apple iPhone 13 (512 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/6edca9e1-e39a-4b1b-b0d4-eca0140c5a9922111219.jpg,94900
"Apple iPhone 13 Pro Max (1 TB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/cfe8490f-f258-41a1-86ac-e4721d3c566a21170645.jpg,174500
"Apple iPhone 13 Pro Max (1 TB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/3a640e09-7d10-4f1b-bdf8-88a3de63875021170641.jpg,179900
"Apple iPhone 13 Pro Max (1 TB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/d32554b8-3341-4ccb-8e87-aef5a84a225a21170636.jpg,149900
"Apple iPhone 13 Pro (512 GB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/6aa49a3c-5684-4bc1-b55a-77229ebc125521170633.jpg,139500
"Apple iPhone 13 Pro Max (1 TB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/96521cd2-eeb2-4f6a-af61-c1276784d09c21170632.jpg,149900
"Apple iPhone 13 Pro (512 GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/611e94cd-9ec8-40f8-9b35-914394ef4a1221170632.jpg,139500
"Apple iPhone 13 Pro (512 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/514b4d91-994c-4424-ae2a-d3d40325c35721170631.jpg,139500
"Apple iPhone 13 Pro (512 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/0bfd5a6d-2596-402d-8938-c3a5fff8d25c21170630.jpg,145400
"Apple iPhone 13 Pro (256 GB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/f7914f11-7b00-4ccb-b19c-c9c6017ec8d421170628.jpg,126790
"Apple iPhone 13 Pro Max (512GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/e51655ed-cc49-4017-9213-1848c186d95221170628.jpg,159900
"Apple iPhone 13 Pro (256 GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/5f305959-6277-4579-b98d-89961c3eaed021170627.jpg,122199
"Apple iPhone 13 Pro (256 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/bd01b607-eaaa-4228-aafa-eecfd394380a21170626.jpg,120900
"Apple iPhone 13 Pro Max (512 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/8085146f-f7b2-4010-ad22-68c2b50e11cc21170623.jpg,150300
"Apple iPhone 13 Pro (1 TB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/cfdf626a-91d7-47ad-984d-7cde8226fb9621170622.jpg,149900
"Apple iPhone 13 Pro (1 TB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/206e594d-28f9-409e-9d85-e8a5b422f28621170621.jpg,169900
"Apple iPhone 13 Pro (1 TB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/452506cd-9c1a-4ed2-935c-94698ed103a221170620.jpg,159799
"Apple iPhone 13 Pro Max (512 GB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/b03f0782-7bbf-4c1a-8605-2b63aad7dd0021170619.jpg,150300
"Apple iPhone 13 Pro (128 GB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/17e514bb-54d3-4ffb-b5aa-dc7f55d7c32921170618.jpg,111600
"Apple iPhone 13 Pro (128 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/dce5eb95-8786-44a0-b57b-f2ab9bd7027a21170614.jpg,106900
"Apple iPhone 13 Pro Max (512 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/680f371a-0ebe-4a17-9124-72ebc63bd71721170614.jpg,150300
"Apple iPhone 13 (512 GB Storage, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/54135db2-883c-4dd1-8234-db04735394d821170610.jpg,94900
"Apple iPhone 13 (512 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/e8353b9e-db69-4c0b-9c06-a2e924d6099d21170609.jpg,94900
"Apple iPhone 13 Pro Max (256GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/e848bf24-23e8-464c-a076-9ca9d48d737e21170608.jpg,136590
"Apple iPhone 13 (512 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/1256fe7f-6a21-40ad-aa8e-8f83601997cc21170606.jpg,94900
"Apple iPhone 13 (512 GB Storage, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/1b1bf514-6fad-4fa6-8ea3-d2ab0548d31e21170604.jpg,94900
"Apple iPhone 13 Pro Max (256 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/993af070-81e1-4b22-87c8-71b2145c2b9621170604.jpg,119900
"Apple iPhone 13 (256 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/acf11b94-2d1f-48e3-bc9e-ecc98535ffef21170601.jpg,73900
"Apple iPhone 13 Pro Max (256 GB, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/ea5fe241-d829-4072-b789-2a5c93a1521021170559.jpg,136590
"Apple iPhone 13 Pro Max (256 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/2eb1eeb0-470e-48a0-9bcf-7d6f610a449521170554.jpg,130110
"Apple iPhone 13 Pro Max (128 GB Storage, Sierra Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/83908e0e-a0b2-4076-88c5-de2a69d551ac21170550.jpg,122100
"Apple iPhone 13 Mini (512 GB Storage, Starlight)",https://d2xamzlzrdbdbn.cloudfront.net/products/3d2bb196-35d8-4ed2-8a94-9614b557357b21170549.jpg,94900
"Apple iPhone 13 Mini (512 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/c5042c0a-f148-4281-a960-152c09876b2921170548.jpg,94900
"Apple iPhone 13 Mini (512 GB Storage, Midnight)",https://d2xamzlzrdbdbn.cloudfront.net/products/be1cdd96-5050-4acc-8ad6-65e57939978221170547.jpg,94900
"Apple iPhone 13 Mini (512 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/37be2582-b60a-409f-9291-d41d0feca50821170545.jpg,91900
"Apple iPhone 13 Pro Max (128 GB Storage, Graphite)",https://d2xamzlzrdbdbn.cloudfront.net/products/4e7b28c3-4db3-4097-ab92-65d0166a651821170544.jpg,109900
"Apple iPhone 13 Mini (512 GB Storage, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/9b07bdfe-0e7a-4c51-9f21-d7f4e6fec55e21170541.jpg,94900
"Apple iPhone 13 Mini (256 GB Storage, Pink)",https://d2xamzlzrdbdbn.cloudfront.net/products/36e196c0-d45c-4224-b62d-8615bbb8d5fe21170538.jpg,74900
"Apple iPhone 13 Pro Max (128 GB Storage, Silver)",https://d2xamzlzrdbdbn.cloudfront.net/products/8130d28f-9adb-4cfb-ac3b-e02fc3eec7cb21170536.jpg,127510
"Apple iPhone 13 Mini (256 GB Storage, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/526c068e-f969-4218-93dd-eb1ab0f5378d21170535.jpg,72900
"Apple iPhone 13 Pro Max (128 GB Storage, Gold)",https://d2xamzlzrdbdbn.cloudfront.net/products/bbdc392e-61f4-462d-ab6a-7d1ab478eee021170531.jpg,122100
"Apple iPhone 13 Mini (128 GB Storage, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/93dd688b-95a3-4590-9ab0-7ae5cbefbcb321170421.jpg,64900
"Apple iPhone 12 (256 GB, Purple)",https://d2xamzlzrdbdbn.cloudfront.net/products/0e7ac309-bdb9-4530-9c83-c4fb786dbd12.jpg,74900
"Apple iPhone 12 (256 GB, Green)",https://d2xamzlzrdbdbn.cloudfront.net/products/da9064c0-84dc-46ce-bdfa-4b132e562c2d.jpg,74900
"Apple iPhone 12 (256 GB, Blue)",https://d2xamzlzrdbdbn.cloudfront.net/products/4d4850bd-1d06-4188-a571-316fa74c7817.jpg,74900
"Apple iPhone 12 (256 GB, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/cc4424c3-a885-40c1-a1e0-7a241b60d4ae.jpg,74900
"Apple iPhone 12 (256 GB, White)",https://d2xamzlzrdbdbn.cloudfront.net/products/78394db4-c161-4ab1-a961-cfda7810fd74.jpg,74900
"Apple iPhone 12 (256 GB, Black)",https://d2xamzlzrdbdbn.cloudfront.net/products/cb3c30f1-3ccc-4cc1-9b18-4c1a8b3adcbc.jpg,74900
"Apple iPhone 12 (64 GB, (Product) Red)",https://d2xamzlzrdbdbn.cloudfront.net/products/deaa7a08-f71e-4426-b504-a65587a467c1.jpg,54600
